campaignType,targetAudience,channels,estimatedDurationDays,teamSize,mediaBudget,externalCosts,fixedCosts,mainGoals,keyDeliverables,metrics,dependencies,risks,contingencyPercent,estimatedBudget
"Awareness","B2C","Social|Display",30,4,6000,2000,500,"Notoriété","Visuels;Landing","Impressions;Reach","Aucun","Faible engagement",8,12000
"Acquisition","B2C","SEA|Display",25,5,10080,1788,469,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC",8,16980
"Awareness","B2B","LinkedIn|Webinar",49,4,6030,2008,413,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",7,14080
"Retention","B2C","Email|SMS",28,3,1990,600,164,"Réachat","Offers;Reminders","Repeat;Open","DB","Opt-out",6,7470
"Launch","SMB","Email|SEA",33,5,15080,2995,697,"Trials","Landing;Emails","Sign-ups;CPA","Dev","Bug",11,25780
"Branding","B2C","OOH|TV",77,7,50680,12080,2568,"Notoriété","Spot;OOH","Reach;Recall","Production","Coût",14,86350
"Acquisition","GenZ","Social|Influencer",26,4,7035,1012,303,"Installs","Ads;Creators","CPI;Engagement","App","Rejet",9,12580
"Awareness","B2C","Display|Video",38,3,6485,932,261,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo",7,11620
"Retention","Millennials","Email|Social",34,3,2910,743,217,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation",6,9280
"Launch","B2B","LinkedIn|Events",55,6,10980,8930,1302,"Demos","Event;Case studies","Registrations;Demos","Sales","Speakers",10,33780
"Branding","SMB","Social|Email",38,4,5205,1580,423,"Image locale","Visuels;Emails","Engagement;Open","Partners","Ciblage",8,12680
"Acquisition","B2C","SEA|Social",23,5,12280,2075,553,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",9,20080
"Awareness","B2B","PR|LinkedIn",36,3,3360,1158,296,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture",7,9730
"Retention","GenZ","App|Push",27,4,2875,610,227,"Engagement","Push;Offers","DAU;Retention","App","Opt-out",6,8230
"Launch","B2C","Social|Influencer",19,6,16950,4105,1060,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison",12,28150
"Branding","Millennials","Social|Events",61,6,8980,5875,903,"Image marque","Event;Content","Sentiment;Reach","Permits","Annulation",11,24080
"Acquisition","B2B","LinkedIn|SEA",36,5,18250,3510,998,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle",10,30250
"Awareness","B2C","Radio|Social",21,3,4235,847,206,"Notoriété","Spot;Posts","Reach;Impr","Production","Diffusion",7,9400
"Retention","SMB","Email|Support",79,2,895,315,114,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps réponse",5,4185
"Launch","B2B","Events|PR",118,8,25680,20480,3145,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",15,74750
"Branding","GenZ","TikTok|Influencer",29,4,9175,2095,512,"Notoriété","Shorts;UGC","Views;Engagement","Creators","Rejet",9,15180
"Acquisition","B2C","SEA|Display",24,5,10120,1815,476,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC",8,17120
"Awareness","B2B","LinkedIn|Webinar",50,4,6140,2038,422,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",7,14180
"Retention","B2C","Email|SMS",29,3,2060,608,168,"Réachat","Offers;Reminders","Repeat;Open","DB","Opt-out",6,7530
"Launch","SMB","Email|SEA",31,5,15160,3038,718,"Trials","Landing;Emails","Sign-ups;CPA","Dev","Bug",11,26080
"Branding","B2C","OOH|TV",79,7,50980,12160,2588,"Notoriété","Spot;OOH","Reach;Recall","Production","Coût",14,86980
"Acquisition","GenZ","Social|Influencer",27,4,7115,1048,306,"Installs","Ads;Creators","CPI;Engagement","App","Rejet",9,12780
"Awareness","B2C","Display|Video",39,3,6630,948,269,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo",7,11880
"Retention","Millennials","Email|Social",35,3,3030,752,223,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation",6,9420
"Launch","B2B","LinkedIn|Events",57,6,11360,9310,1355,"Demos","Event;Case studies","Registrations;Demos","Sales","Speakers",10,34520
"Branding","SMB","Social|Email",39,4,5320,1600,432,"Image locale","Visuels;Emails","Engagement;Open","Partners","Ciblage",8,12880
"Acquisition","B2C","SEA|Social",25,5,12620,2155,579,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",9,20620
"Awareness","B2B","PR|LinkedIn",37,3,3495,1188,312,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture",7,9950
"Retention","GenZ","App|Push",28,4,2960,645,237,"Engagement","Push;Offers","DAU;Retention","App","Opt-out",6,8460
"Launch","B2C","Social|Influencer",21,6,17480,4270,1120,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison",12,29280
"Branding","Millennials","Social|Events",63,6,9075,6030,922,"Image marque","Event;Content","Sentiment;Reach","Permits","Annulation",11,24280
"Acquisition","B2B","LinkedIn|SEA",38,5,18720,3640,1038,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle",10,30780
"Awareness","B2C","Radio|Social",23,3,4360,875,222,"Notoriété","Spot;Posts","Reach;Impr","Production","Diffusion",7,9440
"Retention","SMB","Email|Support",82,2,935,338,119,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps",5,4330
"Launch","B2B","Events|PR",121,8,26180,20880,3275,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",15,77150
"Branding","GenZ","Instagram|UGC",31,4,9460,2148,548,"Notoriété","UGC;Visuels","Views;Engagement","Creators","Rejet",9,15580
"Acquisition","B2C","SEA|Display",28,5,10360,1878,497,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC",8,17460
"Awareness","B2B","LinkedIn|Webinar",52,4,6430,2078,447,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",7,14580
"Retention","B2C","Email|SMS",31,3,2240,668,186,"Réachat","Offers;Reminders","Repeat;Open","DB","Opt-out",6,7810
"Launch","SMB","Email|SEA",32,5,15390,3058,737,"Trials","Landing;Emails","Sign-ups;CPA","Dev","Bug",11,26580
"Branding","B2C","OOH|TV",76,7,51420,12290,2618,"Notoriété","Spot;OOH","Reach;Recall","Production","Coût",14,87850
"Acquisition","GenZ","Social|Influencer",26,4,7260,1078,323,"Installs","Ads;Creators","CPI;Engagement","App","Rejet",9,13120
"Awareness","B2C","Display|Video",40,3,6810,995,284,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo",7,12180
"Retention","Millennials","Email|Social",36,3,3260,795,244,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation",6,9830
"Launch","B2B","LinkedIn|Events",59,6,11680,9690,1412,"Demos","Event;Case studies","Registrations;Demos","Sales","Speakers",10,35380
"Branding","SMB","Social|Email",41,4,5690,1718,472,"Image locale","Visuels;Emails","Engagement;Open","Partners","Ciblage",8,13620
"Acquisition","B2C","SEA|Social",27,5,13180,2325,640,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",9,21580
"Awareness","B2B","PR|LinkedIn",39,3,3710,1230,342,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture",7,10480
"Retention","GenZ","App|Push",30,4,3160,682,258,"Engagement","Push;Offers","DAU;Retention","App","Opt-out",6,8750
"Launch","B2C","Social|Influencer",24,6,18320,4455,1205,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison",12,30750
"Acquisition","B2C","SEA|Social",32,5,12500,2600,620,"Ventes","Landing;Ads","CPA;CTR","SEO","CPC élevé",9,19200
"Awareness","B2C","Social|Display",29,4,7200,1600,420,"Notoriété","Visuels;Bannières","Impressions;Reach","Création","Faible reach",7,11800
"Retention","SMB","Email|CRM",66,2,1600,650,210,"Fidélisation","Emails;Programmes","Open rate;Churn","Support","Données incomplètes",6,4800
"Launch","B2B","LinkedIn|Events",95,7,15500,11000,1700,"Lancement produit","Event;Demo","Leads;Demos","Dev","Retard livraison",13,40000
"Branding","GenZ","TikTok|Influencer",38,4,9800,2300,560,"Notoriété","Shorts;UGC","Views;Engagement","Creators","Contenu rejeté",10,17500
"Acquisition","B2C","SEA|Display",30,6,11800,1900,480,"Conversions","Ads;Landing","CPA;ROAS","SEO","Concurrence CPC",9,17000
"Awareness","B2B","PR|LinkedIn",45,3,5400,1300,340,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture limitée",8,10500
"Retention","B2C","Email|SMS",24,3,2000,550,170,"Réachat","Offers;Reminders","Repeat rate;Open","DB","Opt-out",6,5600
"Launch","SMB","Email|SEA",50,5,17000,3800,900,"Trials","Landing;Emails","Sign-ups;CPA","Dev","Bug signup",12,30000
"Branding","Millennials","Social|Events",68,7,11000,6500,1000,"Image marque","Event;Content","Sentiment;Reach","Permits","Annulation event",12,26000
"Acquisition","B2B","LinkedIn|Email",54,6,21000,4200,1100,"Leads","Ads;Case studies","CPL;MQL","Sales","Cycle long",13,36000
"Awareness","B2C","Radio|Social",26,3,4800,1000,260,"Notoriété","Spot;Posts","Reach;Impressions","Production","Diffusion",8,11000
"Retention","SMB","Support|Email",85,2,1100,350,130,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps réponse",6,4600
"Launch","B2B","Events|PR",125,9,32000,24000,3500,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",18,92000
"Branding","GenZ","Instagram|Influencer",36,4,9400,2150,560,"Notoriété","Visuels;UGC","Engagement;Shares","Creators","Rejet contenu",10,16500
"Acquisition","B2C","SEA|Social",28,5,11200,1800,480,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC élevé",9,17200
"Awareness","B2B","LinkedIn|Webinar",52,4,7600,2300,460,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",8,15000
"Retention","B2C","App|Push",34,3,2700,750,220,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out massifs",7,7200
"Launch","SMB","Social|Influencer",20,6,16500,4300,1100,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison lente",13,31000
"Branding","B2C","OOH|Social",60,6,10500,4600,760,"Notoriété locale","Affiches;Posts","Reach;Recall","Permis locaux","Refus emplacement",10,21000
"Acquisition","GenZ","Social|Influencer",28,4,8600,1300,340,"Installations","Ads;Creators","CPI;Engagement","App store","Rejet app",10,14000
"Awareness","B2C","Display|Video",42,3,7000,1100,300,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo non validée",8,12500
"Retention","Millennials","Email|Social",38,3,3000,900,240,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation faible",7,9800
"Launch","B2B","LinkedIn|Events",62,6,12500,10500,1450,"Demos","Event;Case studies","Registrations;Demos","Sales","Disponibilité speakers",12,38000
"Branding","SMB","Social|Email",44,5,6000,1800,500,"Image locale","Visuels;Emails","Engagement;Open rate","Local partners","Ciblage",9,15000
"Acquisition","B2C","SEA|Social",26,6,13500,2300,620,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",10,22000
"Awareness","B2B","Display|PR",48,3,4200,1300,350,"Visibilité","Ads;Communiqué","Impressions;Mentions","Aucun","Faible reach",8,11500
"Retention","GenZ","App|Social",31,4,3200,750,260,"Engagement","In-app offers;Content","DAU;Retention","App team","Crash app",7,9000
"Launch","B2C","Social|SEA",22,6,18500,4700,1250,"Ventes initiales","Campagne;Landing","Sales;CPA","Stock","Retour produit élevé",14,34000
"Branding","Millennials","Social|PR",70,5,8200,3000,650,"Image de marque","Communiqué;Visuels","Sentiment;Reach","Agence PR","Mauvaise couverture",11,20000
"Acquisition","B2B","LinkedIn|SEA",40,6,19500,3800,1100,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle long",12,35000
"Awareness","B2C","TV|Social",85,9,70000,17000,3500,"Notoriété","Spot TV;Social","Reach;Impressions","Production","Coût production élevé",20,110000
"Retention","SMB","Email|Webinar",30,2,1800,800,220,"Fidélisation","Webinar;Follow-up","Attendance;NPS","Support","Faible participation",7,7000
"Launch","B2B","Events|LinkedIn",100,7,16000,11500,1650,"Lancement produit","Event;Brochure","Leads;Meetings","Dev release","Retard livraison",13,42000
"Branding","GenZ","TikTok|UGC",37,4,9800,2300,540,"Notoriété","UGC;Shorts","Views;Engagement","Creators","Contenu rejeté",10,17000
"Acquisition","B2C","SEA|Social",31,5,11800,1850,500,"Conversions","Landing;A/B tests","CPA;CTR","SEO","CPC élevé",9,17800
"Awareness","B2B","LinkedIn|Display",55,3,9000,2400,480,"Notoriété","Whitepaper;Ads","Impressions;CTR","Sales enablement","Faible reach",9,16000
"Retention","B2C","Email|SMS",26,3,2100,600,180,"Réachat","Offers;Reminders","Repeat rate;Open","DB update","Opt-out",7,6200
"Launch","SMB","Email|Events",70,7,14000,11000,1700,"Onboarding clients","Event;Docs","Sign-ups;Trials","Legal approval","Retard approbation",13,42000
"Branding","B2C","OOH|TV",90,8,12000,5200,900,"Notoriété locale","Affiches;Social","Reach;Recall","Permis locaux","Refus emplacement",12,26000
"Acquisition","GenZ","Social|Influencer",29,4,9000,1400,360,"Installations","Ads;Influencer","CPI;Engagement","App store","Rejet app",10,14500
"Awareness","B2C","Display|Video",44,3,7200,1150,320,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo non validée",8,12800
"Retention","Millennials","Email|Social",40,3,3200,950,260,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation faible",7,10200
"Launch","B2B","LinkedIn|Webinar",65,6,13500,11500,1500,"Démonstrations","Webinar;Demo","Registrations;Demos","Dev","Bug produit",13,41000
"Branding","SMB","Social|Email",46,5,6200,1900,520,"Image locale","Visuels;Emails","Engagement;Open rate","Local partners","Ciblage",9,16000
"Acquisition","B2C","SEA|Social",28,6,14000,2400,650,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",10,23000
"Awareness","B2B","PR|LinkedIn",50,3,4600,1350,360,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Faible reach",9,12000
"Retention","GenZ","App|Push",33,4,3400,800,280,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out",7,9500
"Launch","B2C","Influencer|Social",24,6,19000,5000,1300,"Ventes initiales","Influencer posts;Promo","Sales;Engagement","Logistique","Livraison lente",15,36000
"Branding","Millennials","Social|Events",72,7,12500,7000,1100,"Image marque","Event;Content","Sentiment;Reach","Event permits","Annulation",13,30000
"Acquisition","B2B","LinkedIn|SEA",42,6,20500,4000,1150,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle long",13,37000
"Awareness","B2C","Radio|Social",30,3,5200,1100,270,"Notoriété","Spot;Posts","Reach;Impressions","Production","Diffusion",9,12500
"Retention","SMB","Email|Support",90,2,1200,380,140,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps réponse",6,5000
"Launch","B2B","Events|PR",130,9,35000,26000,3800,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",18,98000
"Branding","GenZ","Instagram|Influencer",40,4,10000,2300,600,"Notoriété","Visuels;UGC","Engagement;Shares","Creators","Rejet contenu",11,18000
"Acquisition","B2C","SEA|Social",33,5,12500,2000,520,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC élevé",9,18500
"Awareness","B2B","LinkedIn|Webinar",58,4,8200,2500,500,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",9,17000
"Retention","B2C","App|Push",36,3,2900,780,230,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out massifs",7,7600
"Launch","SMB","Social|Influencer",26,6,17500,4600,1200,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison lente",14,33000
"Branding","B2C","OOH|Social",65,6,11000,4800,800,"Notoriété locale","Affiches;Posts","Reach;Recall","Permis locaux","Refus emplacement",11,22000
"Acquisition","GenZ","Social|Influencer",31,4,9200,1500,380,"Installations","Ads;Creators","CPI;Engagement","App store","Rejet app",10,15000
"Awareness","B2C","Display|Video",46,3,7400,1200,340,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo non validée",8,13200
"Retention","Millennials","Email|Social",42,3,3400,1000,280,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation faible",8,10800
"Launch","B2B","LinkedIn|Events",70,6,14500,12500,1600,"Demos","Event;Case studies","Registrations;Demos","Sales","Disponibilité speakers",14,42000
"Branding","SMB","Social|Email",50,5,6800,2100,560,"Image locale","Visuels;Emails","Engagement;Open rate","Local partners","Ciblage",10,17500
"Acquisition","B2C","SEA|Social",30,6,15000,2500,700,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",11,24000
"Awareness","B2B","PR|LinkedIn",55,3,5000,1400,380,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Faible reach",10,13000
"Retention","GenZ","App|Push",35,4,3600,820,290,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out",8,10000
"Launch","B2C","Influencer|Social",28,6,20000,5200,1350,"Ventes initiales","Influencer posts;Promo","Sales;Engagement","Logistique","Livraison lente",16,38000
"Branding","Millennials","Social|Events",75,8,13500,7500,1200,"Image marque","Event;Content","Sentiment;Reach","Event permits","Annulation",14,32000
"Acquisition","B2B","LinkedIn|SEA",45,6,22000,4200,1200,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle long",14,39000
"Awareness","B2C","Radio|Social",32,3,5600,1200,300,"Notoriété","Spot;Posts","Reach;Impressions","Production","Diffusion",10,13500
"Retention","SMB","Email|Support",95,2,1300,400,150,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps réponse",6,5200
"Launch","B2B","Events|PR",140,10,38000,28000,4000,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",20,105000
"Branding","GenZ","Instagram|Influencer",42,4,10500,2400,620,"Notoriété","Visuels;UGC","Engagement;Shares","Creators","Rejet contenu",12,19000
"Acquisition","B2C","SEA|Social",35,5,13000,2100,540,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC élevé",10,19500
"Awareness","B2B","LinkedIn|Webinar",60,4,8500,2600,520,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",10,17500
"Retention","B2C","App|Push",38,3,3100,820,240,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out massifs",8,8000
"Launch","SMB","Social|Influencer",30,6,18500,4800,1250,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison lente",15,35000
"Branding","B2C","OOH|Social",70,7,11500,5000,850,"Notoriété locale","Affiches;Posts","Reach;Recall","Permis locaux","Refus emplacement",12,23000
"Acquisition","GenZ","Social|Influencer",33,4,9500,1600,400,"Installations","Ads;Creators","CPI;Engagement","App store","Rejet app",11,15500
"Awareness","B2C","Display|Video",48,3,7600,1250,360,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo non validée",9,13800
"Retention","Millennials","Email|Social",44,3,3600,1050,300,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation faible",8,11200
"Launch","B2B","LinkedIn|Events",75,6,15500,13500,1700,"Demos","Event;Case studies","Registrations;Demos","Sales","Disponibilité speakers",15,45000
"Branding","SMB","Social|Email",55,5,7200,2200,580,"Image locale","Visuels;Emails","Engagement;Open rate","Local partners","Ciblage",11,18500
"Acquisition","B2C","SEA|Social",32,6,15500,2600,720,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",12,25000
"Awareness","B2B","PR|LinkedIn",60,3,5400,1500,400,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Faible reach",11,14000
"Retention","GenZ","App|Push",38,4,3800,860,300,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out",9,10500
"Launch","B2C","Influencer|Social",30,6,21000,5400,1400,"Ventes initiales","Influencer posts;Promo","Sales;Engagement","Logistique","Livraison lente",17,40000
"Branding","Millennials","Social|Events",80,8,14500,8000,1300,"Image marque","Event;Content","Sentiment;Reach","Event permits","Annulation",15,35000
"Acquisition","B2B","LinkedIn|SEA",48,6,23500,4500,1250,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle long",15,42000
"Awareness","B2C","Radio|Social",35,3,6000,1300,320,"Notoriété","Spot;Posts","Reach;Impressions","Production","Diffusion",11,14500
"Retention","SMB","Email|Support",100,2,1400,420,160,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps réponse",6,5400
"Launch","B2B","Events|PR",150,10,40000,30000,4200,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",22,115000
"Acquisition","B2C","SEA|Social",34,5,13200,2600,620,"Ventes","Landing;Ads","CPA;CTR","SEO","CPC élevé",9,19500
"Awareness","B2C","Social|Display",31,4,7600,1600,420,"Notoriété","Visuels;Bannières","Impressions;Reach","Création","Faible reach",7,12500
"Retention","SMB","Email|CRM",68,2,1700,700,220,"Fidélisation","Emails;Programmes","Open rate;Churn","Support","Données incomplètes",6,5200
"Launch","B2B","LinkedIn|Events",98,7,16200,11200,1720,"Lancement produit","Event;Demo","Leads;Demos","Dev","Retard livraison",13,41000
"Branding","GenZ","TikTok|Influencer",39,4,10000,2350,570,"Notoriété","Shorts;UGC","Views;Engagement","Creators","Contenu rejeté",10,17800
"Acquisition","B2C","SEA|Display",33,6,12100,1950,490,"Conversions","Ads;Landing","CPA;ROAS","SEO","Concurrence CPC",9,17600
"Awareness","B2B","PR|LinkedIn",47,3,5600,1320,350,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture limitée",8,11200
"Retention","B2C","Email|SMS",27,3,2100,580,175,"Réachat","Offers;Reminders","Repeat rate;Open","DB","Opt-out",6,5800
"Launch","SMB","Email|SEA",52,5,17500,3900,920,"Trials","Landing;Emails","Sign-ups;CPA","Dev","Bug signup",12,31000
"Branding","Millennials","Social|Events",70,7,11200,6600,1020,"Image marque","Event;Content","Sentiment;Reach","Permits","Annulation event",12,26800
"Acquisition","B2B","LinkedIn|Email",56,6,21400,4300,1120,"Leads","Ads;Case studies","CPL;MQL","Sales","Cycle long",13,36800
"Awareness","B2C","Radio|Social",28,3,4900,1020,270,"Notoriété","Spot;Posts","Reach;Impressions","Production","Diffusion",8,11400
"Retention","SMB","Support|Email",88,2,1150,360,135,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps réponse",6,4800
"Launch","B2B","Events|PR",128,9,32500,24500,3550,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",18,94000
"Branding","GenZ","Instagram|Influencer",38,4,9600,2200,560,"Notoriété","Visuels;UGC","Engagement;Shares","Creators","Rejet contenu",10,16800
"Acquisition","B2C","SEA|Social",30,5,11600,1820,490,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC élevé",9,17000
"Awareness","B2B","LinkedIn|Webinar",54,4,7800,2350,470,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",8,15200
"Retention","B2C","App|Push",36,3,2800,760,225,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out massifs",7,7400
"Launch","SMB","Social|Influencer",22,6,16800,4350,1120,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison lente",13,32000
"Branding","B2C","OOH|Social",62,6,10800,4700,780,"Notoriété locale","Affiches;Posts","Reach;Recall","Permis locaux","Refus emplacement",10,21600
"Acquisition","GenZ","Social|Influencer",30,4,8800,1350,350,"Installations","Ads;Creators","CPI;Engagement","App store","Rejet app",10,14800
"Awareness","B2C","Display|Video",46,3,7200,1180,330,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo non validée",8,13000
"Retention","Millennials","Email|Social",40,3,3200,920,260,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation faible",7,10200
"Launch","B2B","LinkedIn|Events",64,6,12700,10700,1470,"Demos","Event;Case studies","Registrations;Demos","Sales","Disponibilité speakers",12,39200
"Branding","SMB","Social|Email",48,5,6200,1850,520,"Image locale","Visuels;Emails","Engagement;Open rate","Local partners","Ciblage",9,15800
"Acquisition","B2C","SEA|Social",28,6,13800,2450,640,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",10,22600
"Awareness","B2B","Display|PR",50,3,4300,1320,360,"Visibilité","Ads;Communiqué","Impressions;Mentions","Aucun","Faible reach",8,11800
"Retention","GenZ","App|Social",33,4,3300,780,270,"Engagement","In-app offers;Content","DAU;Retention","App team","Crash app",7,9400
"Launch","B2C","Social|SEA",24,6,18800,4800,1280,"Ventes initiales","Campagne;Landing","Sales;CPA","Stock","Retour produit élevé",14,34600
"Branding","Millennials","Social|PR",72,5,8400,3100,680,"Image de marque","Communiqué;Visuels","Sentiment;Reach","Agence PR","Mauvaise couverture",11,20600
"Acquisition","B2B","LinkedIn|SEA",42,6,19800,3900,1120,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle long",12,35600
"Awareness","B2C","TV|Social",88,9,72000,17500,3600,"Notoriété","Spot TV;Social","Reach;Impressions","Production","Coût production élevé",21,114000
"Retention","SMB","Email|Webinar",34,2,1900,820,230,"Fidélisation","Webinar;Follow-up","Attendance;NPS","Support","Faible participation",7,7400
"Launch","B2B","Events|LinkedIn",105,7,16800,11800,1700,"Lancement produit","Event;Brochure","Leads;Meetings","Dev release","Retard livraison",13,43600
"Branding","GenZ","TikTok|UGC",40,4,10000,2350,560,"Notoriété","UGC;Shorts","Views;Engagement","Creators","Contenu rejeté",10,18200
"Acquisition","B2C","SEA|Social",34,5,12200,1900,520,"Conversions","Landing;A/B tests","CPA;CTR","SEO","CPC élevé",9,18200
"Awareness","B2B","LinkedIn|Display",58,3,9400,2500,500,"Notoriété","Whitepaper;Ads","Impressions;CTR","Sales enablement","Faible reach",9,16800
"Retention","B2C","Email|SMS",30,3,2200,650,190,"Réachat","Offers;Reminders","Repeat rate;Open","DB update","Opt-out",7,6600
"Launch","SMB","Email|Events",75,7,15000,11800,1750,"Onboarding clients","Event;Docs","Sign-ups;Trials","Legal approval","Retard approbation",13,43800
"Branding","B2C","OOH|TV",95,8,12500,5400,920,"Notoriété locale","Affiches;Social","Reach;Recall","Permis locaux","Refus emplacement",12,26800
"Acquisition","GenZ","Social|Influencer",32,4,9400,1450,370,"Installations","Ads;Influencer","CPI;Engagement","App store","Rejet app",10,15200
"Awareness","B2C","Display|Video",48,3,7400,1200,350,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo non validée",8,13400
"Retention","Millennials","Email|Social",44,3,3400,980,280,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation faible",8,11000
"Launch","B2B","LinkedIn|Webinar",68,6,13800,11800,1520,"Démonstrations","Webinar;Demo","Registrations;Demos","Dev","Bug produit",13,42000
"Branding","SMB","Social|Email",52,5,6600,2000,540,"Image locale","Visuels;Emails","Engagement;Open rate","Local partners","Ciblage",10,17000
"Acquisition","B2C","SEA|Social",30,6,14500,2550,680,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",11,23800
"Awareness","B2B","PR|LinkedIn",58,3,5200,1450,380,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Faible reach",10,13200
"Retention","GenZ","App|Push",36,4,3800,860,300,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out",8,10600
"Launch","B2C","Influencer|Social",28,6,20500,5400,1350,"Ventes initiales","Influencer posts;Promo","Sales;Engagement","Logistique","Livraison lente",16,39200
"Branding","Millennials","Social|Events",78,7,14000,7600,1220,"Image marque","Event;Content","Sentiment;Reach","Event permits","Annulation",14,33200
"Acquisition","B2B","LinkedIn|SEA",46,6,22500,4300,1220,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle long",14,40400
"Awareness","B2C","Radio|Social",34,3,5800,1250,320,"Notoriété","Spot;Posts","Reach;Impressions","Production","Diffusion",10,14200
"Retention","SMB","Email|Support",98,2,1400,420,160,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps réponse",6,5600
